inscricao,idade,sexo,conclusao_ens_med,tipo_ens_med,treineiro,cadeira_canhoto,gestante,idoso,celular_na_residencia,internet_na_residencia,pessoas_na_residencia,renda_mensal_familiar,nota_ct,nota_ch,nota_lc,nota_mt,nota_redacao,estado,municipio,municipio_id
4881389,25,M,Concluído,1,0,0,0,0,1,A,4,<= 998.00,509.9,465.9,485.1,512.5,360.0,PR,LARANJEIRAS DO SUL,4113304
3633487,22,F,Concluído,1,0,0,0,0,1,B,5,<= 998.00,485.8,470.9,503.4,437.7,500.0,BA,JAGUAQUARA,2917607
1734019,17,M,Cursando,3,0,0,0,0,1,B,4,2495.00 até 2994.00,599.9,561.0,563.6,637.2,800.0,PB,AROEIRAS,2501302
4337301,18,F,Cursando,2,0,0,0,0,1,B,6,1497.00 até 1996.00,506.6,532.3,600.0,528.8,640.0,SP,EMBU DAS ARTES,3515004
624077,16,F,Cursando,1,1,0,0,0,1,B,4,9980.00 até 11976.00,580.2,581.8,588.2,567.3,960.0,MG,CORONEL FABRICIANO,3119401
4337326,19,F,Cursando,2,0,0,0,0,1,B,2,998.00 até 1497.00,,402.1,462.2,,0.0,SP,SÃO PAULO,3550308
2061156,17,F,Cursando,1,1,0,0,0,1,B,6,998.00 até 1497.00,433.5,555.6,499.8,369.7,560.0,TO,PALMAS,1721000
1624576,17,F,Cursando,1,1,0,0,0,1,A,2,<= 998.00,498.3,516.2,472.5,525.4,580.0,BA,CATU,2907509
3444556,19,F,Concluído,1,0,0,0,0,1,A,4,<= 998.00,418.0,411.3,458.8,396.3,500.0,PE,BODOCÓ,2602001
293526,28,F,Concluído,1,0,0,0,0,1,B,1,1996.00 até 2495.00,,,,,,MG,ITAÚNA,3133808
2975694,21,F,Concluído,1,0,0,0,0,1,B,3,998.00 até 1497.00,,,,,,PA,BELÉM,1501402
4408795,65,M,Concluído,1,0,0,0,0,1,A,3,998.00 até 1497.00,,,,,,PA,BELÉM,1501402
4933657,26,F,Concluído,1,0,0,0,0,1,B,2,1996.00 até 2495.00,,,,,,PR,CURITIBA,4106902
5075352,17,M,Cursando,1,1,0,0,0,1,B,3,14970.00 até 19960.00,636.0,623.5,568.1,748.7,700.0,SP,GARÇA,3516705
168728,17,F,Cursando,2,0,0,0,0,1,B,3,<= 998.00,503.3,610.1,590.2,452.8,880.0,CE,MARACANAÚ,2307650
3771138,16,F,Cursando,1,1,0,0,0,1,B,3,2994.00 até 3992.00,499.8,451.1,536.0,603.2,360.0,SP,PIRACAIA,3538600
775694,18,F,Cursando,2,0,0,0,0,1,B,5,1996.00 até 2495.00,513.9,511.5,538.8,475.2,600.0,GO,JARAGUÁ,5211800
193506,21,F,Concluído,1,0,0,0,0,1,B,3,<= 998.00,,,,,,MA,BACABAL,2101202
2543493,19,M,Concluído,1,0,0,0,0,1,B,3,2495.00 até 2994.00,510.9,479.1,536.3,624.2,600.0,RJ,RIO DE JANEIRO,3304557
2742892,20,F,Concluído,1,0,0,0,0,1,B,4,<= 998.00,517.0,523.1,532.5,576.7,640.0,BA,BARRA,2902708
2186884,29,M,Concluído,1,0,0,0,0,1,B,2,2495.00 até 2994.00,443.1,430.6,414.9,524.5,440.0,AM,MANAUS,1302603
2889410,37,F,Concluído,1,0,0,0,0,1,B,4,<= 998.00,442.7,534.1,565.9,435.7,620.0,RN,CAICÓ,2402006
4862337,18,M,Cursando,3,0,0,0,0,1,B,4,2994.00 até 3992.00,539.8,517.1,548.8,591.6,620.0,SP,SÃO PAULO,3550308
964813,18,F,Cursando,1,1,0,0,0,1,B,5,998.00 até 1497.00,439.7,339.6,479.8,429.1,660.0,AM,MANAUS,1302603
3443978,25,F,Concluído,1,0,0,0,0,1,B,4,<= 998.00,401.3,442.4,518.4,359.2,460.0,PE,CARPINA,2604007
615668,17,M,Cursando,2,0,0,0,0,1,B,4,1996.00 até 2495.00,524.8,555.1,548.1,685.6,600.0,SP,JAGUARIÚNA,3524709
3037993,19,F,Concluído,1,0,0,0,0,1,B,2,1497.00 até 1996.00,,,,,,SC,CHAPECÓ,4204202
2378346,18,F,Concluído,1,0,0,0,0,1,B,3,998.00 até 1497.00,490.9,561.0,541.2,490.2,860.0,PR,COLORADO,4105904
1875801,23,M,Concluído,1,0,0,0,0,1,B,4,998.00 até 1497.00,,476.6,420.3,,240.0,DF,BRASÍLIA,5300108
1601545,22,F,Concluído,1,0,0,0,0,1,B,2,998.00 até 1497.00,,,,,,MG,CATAGUASES,3115300
354646,20,F,Concluído,1,0,0,0,0,1,B,5,<= 998.00,532.6,526.6,561.0,515.6,860.0,PE,GOIANA,2606200
4360063,34,M,Concluído,1,0,0,0,0,1,B,3,1497.00 até 1996.00,,542.8,529.6,,580.0,RJ,RIO DE JANEIRO,3304557
450884,17,F,Cursando,2,0,0,0,0,1,B,4,1996.00 até 2495.00,416.2,520.2,569.7,495.7,660.0,PB,JOÃO PESSOA,2507507
2903994,26,M,Concluído,1,0,0,0,0,1,B,3,998.00 até 1497.00,,,,,,PE,PETROLINA,2611101
3641055,22,M,Concluído,1,0,0,0,0,1,B,4,1497.00 até 1996.00,,,,,,MG,BICAS,3106903
1402656,42,F,Concluído,1,0,0,0,0,1,B,3,1497.00 até 1996.00,390.3,344.9,524.5,398.3,480.0,RJ,NOVA IGUAÇU,3303500
953556,20,M,Cursando,2,0,0,0,0,1,B,6,<= 998.00,442.7,336.2,429.7,434.3,600.0,PI,ALTOS,2200400
976284,19,F,Concluído,1,0,0,0,0,1,B,4,6986.00 até 7984.00,355.6,424.3,457.1,370.6,600.0,AP,VITÓRIA DO JARI,1600808
1468664,29,M,Concluído,1,0,0,0,0,1,B,2,Nenhuma Renda,554.5,546.2,543.9,665.2,500.0,SP,HORTOLÂNDIA,3519071
602164,20,F,Concluído,1,0,0,0,0,1,B,3,<= 998.00,,,,,,SP,MOCOCA,3530508
3194661,17,F,Cursando,2,0,0,0,0,1,B,3,998.00 até 1497.00,,,,,,SP,SÃO PAULO,3550308
2444336,18,F,Cursando,2,0,0,0,0,1,B,4,<= 998.00,388.4,387.7,438.8,437.4,620.0,BA,SÃO FELIPE,2929107
